i,years_from_now
battery_li,0
biopower,2
beccs_mod,4
beccs_max,4
can-imports,500
coal-CCS_mod,4
coal-CCS_max,4
coal-CCS-F1,4
coal-CCS-F2,4
coal-CCS-F3,4
Coal-IGCC,2
coal-new,2
CoalOldScr,500
CoalOldUns,500
CofireNew,2
CofireOld,500
csp1_1,3
csp1_2,3
csp1_3,3
csp1_4,3
csp1_5,3
csp1_6,3
csp1_7,3
csp1_8,3
csp1_9,3
csp1_10,3
csp1_11,3
csp1_12,3
csp2_1,3
csp2_2,3
csp2_3,3
csp2_4,3
csp2_5,3
csp2_6,3
csp2_7,3
csp2_8,3
csp2_9,3
csp2_10,3
csp2_11,3
csp2_12,3
csp3_1,3
csp3_2,3
csp3_3,3
csp3_4,3
csp3_5,3
csp3_6,3
csp3_7,3
csp3_8,3
csp3_9,3
csp3_10,3
csp3_11,3
csp3_12,3
csp4_1,3
csp4_2,3
csp4_3,3
csp4_4,3
csp4_5,3
csp4_6,3
csp4_7,3
csp4_8,3
csp4_9,3
csp4_10,3
csp4_11,3
csp4_12,3
dr_shed_1,0
dr_shed_2,0
evmc_storage_1,0
evmc_storage_2,0
evmc_storage_3,0
evmc_storage_4,0
evmc_storage_5,0
evmc_storage_6,0
evmc_storage_7,0
evmc_storage_8,0
evmc_storage_9,0
evmc_storage_10,0
evmc_shape_1,0
evmc_shape_2,0
evmc_shape_3,0
evmc_shape_4,0
evmc_shape_5,0
evmc_shape_6,0
evmc_shape_7,0
evmc_shape_8,0
evmc_shape_9,0
evmc_shape_10,0
egs_allkm_1,8
egs_allkm_2,8
egs_allkm_3,8
egs_allkm_4,8
egs_allkm_5,8
egs_allkm_6,8
egs_allkm_7,8
egs_allkm_8,8
egs_allkm_9,8
egs_allkm_10,8
distpv,0
h2-fuel-cell,4
Gas-CC,0
Gas-CC_H_1x1,0
Gas-CC_H_2x1,0
Gas-CC-CCS_mod,4
Gas-CC-CCS_max,4
Gas-CC_H_1x1-CCS_mod,4
Gas-CC_H_1x1-CCS_max,4
Gas-CC_H_2x1-CCS_mod,4
Gas-CC_H_2x1-CCS_max,4
Gas-CC-CCS-F1,4
Gas-CC-CCS-F2,4
Gas-CC-CCS-F3,4
Gas-CT,0
Gas-CT_aero,0
H2-CT,3
H2-CC,3
ng-fuel-cell,10
geohydro_allkm_1,2
geohydro_allkm_2,2
geohydro_allkm_3,2
geohydro_allkm_4,2
geohydro_allkm_5,2
geohydro_allkm_6,2
geohydro_allkm_7,2
geohydro_allkm_8,2
geohydro_allkm_9,2
geohydro_allkm_10,2
geothermal,2
pvb1_1,0
pvb1_2,0
pvb1_3,0
pvb1_4,0
pvb1_5,0
pvb1_6,0
pvb1_7,0
pvb1_8,0
pvb1_9,0
pvb1_10,0
pvb2_1,0
pvb2_2,0
pvb2_3,0
pvb2_4,0
pvb2_5,0
pvb2_6,0
pvb2_7,0
pvb2_8,0
pvb2_9,0
pvb2_10,0
pvb3_1,0
pvb3_2,0
pvb3_3,0
pvb3_4,0
pvb3_5,0
pvb3_6,0
pvb3_7,0
pvb3_8,0
pvb3_9,0
pvb3_10,0
hydD,2
hydED,2
hydEND,2
hydND,2
hydNPD,2
hydNPND,2
Hydro,2
hydSD,2
hydSND,2
hydUD,2
hydUND,2
lfill-gas,500
egs_nearfield_1,2
egs_nearfield_2,2
egs_nearfield_3,2
egs_nearfield_4,2
egs_nearfield_5,2
egs_nearfield_6,2
egs_nearfield_7,2
egs_nearfield_8,2
egs_nearfield_9,2
egs_nearfield_10,2
Nuclear,8
Nuclear-SMR,8
o-g-s,500
pumped-hydro,3
pumped-hydro-flex,3
upv_1,0
upv_2,0
upv_3,0
upv_4,0
upv_5,0
upv_6,0
upv_7,0
upv_8,0
upv_9,0
upv_10,0
wind-ofs_1,4
wind-ofs_2,4
wind-ofs_3,4
wind-ofs_4,4
wind-ofs_5,4
wind-ofs_6,4
wind-ofs_7,4
wind-ofs_8,4
wind-ofs_9,4
wind-ofs_10,4
wind-ons_1,0
wind-ons_2,0
wind-ons_3,0
wind-ons_4,0
wind-ons_5,0
wind-ons_6,0
wind-ons_7,0
wind-ons_8,0
wind-ons_9,0
wind-ons_10,0
electrolyzer,0
smr,0
smr_ccs,0
dac,3
dac_gas,3
