start,end,polarity,voltage,cost_MUSD,length_miles
1d4e3e81d1c05f78f91f7919bb25e146,5c68c574eb52dbbb337b4e46d2dbcfc8,ac,161,37.08,20.32
420cd0f0b63733bb95cdebf2027965eb,0522f0f077611617c09c361e91503db9,ac,230,58.51,29.18
7b492a45ac8f4d1eab35500e72e94812,4461853cc6a73bc75d45fe1ea6e8ee6c,ac,230,52.57,26.22
7b492a45ac8f4d1eab35500e72e94812,303807c0c0db7db426d7b6d2081a276f,ac,138,34.07,19.01
9d8f28a68408298dc2bc1e3b29b3f3ed,be1e96285160d90cdf41943acc1499b9,ac,230,219.91,109.68
4207dd934a10a875741e7c8936bc720f,a50a2f182d52fe132a296a3cedc58fd5,ac,230,51.69,25.78
59e303779456f354cb4c87447155d612,f9145ca6d153a22f2c344f15ce8034f6,ac,230,92.45,46.11
420cd0f0b63733bb95cdebf2027965eb,512ba6448f63790387e2ad3d3bc630d0,ac,230,113.24,56.48
9d8f28a68408298dc2bc1e3b29b3f3ed,5b78b713342c74fb79ae8e4a0b5b9724,ac,230,207.92,103.7
9b3f19c666b37dcb52bb3bfa51ae0c46,420cd0f0b63733bb95cdebf2027965eb,ac,230,150.94,75.28
1ad4dc0986f8e453fad705c87ed6dfda,eda65102a785a9ea6a6552c3f808a32d,ac,230,49.98,24.93
83173b74f3b940fbba30e85eea166a8f,8bc835f9bd44fd0070732798834220d2,ac,138,21.36,11.92
5dd808ef0d37652165522bd8b73b795e,0ded6348389f35483e961d04d7babcc8,ac,138,51.57,28.78
f33c692cfb7545f0588d168e6837e8b5,ff8d9fee05e6c18c987f61ccac7537f4,ac,230,55.98,27.92
63e5ab8795c192e94cdc7f421927d7b1,fed509800df41e8a2ec17e894a2626f0,ac,230,81.96,40.88
e0e98d22f87057af6cf8eaed65f1ea55,75198558c1ed763f12e6f946a46f8b2f,ac,138,77.88,43.46
92a763842faeaaa9e9fed136d596c597,f536c8bd94fdd9ce73262d2e842e4a41,ac,138,50.3,28.07
7856e1f16346c09190977fc5bf224ae5,ff8d9fee05e6c18c987f61ccac7537f4,ac,138,80.21,44.76
581a4c33889fc7aeca599e03628e37d3,3fd35dfcc8e0ce7cca31532a92d6701c,ac,138,43.67,24.37
3eb98498c491436f425cd830b3f447fa,7b492a45ac8f4d1eab35500e72e94812,ac,138,40.5,22.6
c8167cf7f61157655b7248284b413b6f,23ca67cfd093157f2b1b68bafb1f0a3e,ac,230,36.43,18.17
9b80db5649edf85db26dde3ba3e287f5,e0e98d22f87057af6cf8eaed65f1ea55,ac,138,79.22,44.21
af13c923019e858389573d23fd9aa54b,8bc835f9bd44fd0070732798834220d2,ac,138,32.69,18.24
cafda5b07243ef0ef4580c470d05995b,6ec00eeb639d309bafaeb0a3ea24fb3c,ac,138,55.32,30.87
e8a0ec28fc4273aa546f3abb6a3c24d9,1b7f4b2c845aac58d112f6e7ca78e8f7,ac,161,35.24,19.31
e8a0ec28fc4273aa546f3abb6a3c24d9,0bab9af56671570e6eb8536602601dc2,ac,161,41.9,22.96
b10eca9df573fa1e8e8323d50b6fc188,9d8f28a68408298dc2bc1e3b29b3f3ed,ac,138,78.02,43.54
09b24f6bc75811639ed94b8c719d7c7b,07d8be4e98fe2f96153d2e43b791d4ea,ac,230,140.97,70.31
4c2d760f60a6ea70b0a10ef9ff2351f5,8db1625bead0f643f7f7913edc2a8434,ac,138,44.6,24.89
22f5adca2c7b559c1042e92e17c2a4c5,863fdb719f9f659a50266e85255bae68,ac,138,53.62,29.92
8db1625bead0f643f7f7913edc2a8434,314e9197a43a6d40cef6f1629e2c3721,ac,138,64.67,36.09
8db1625bead0f643f7f7913edc2a8434,c04819b0706f1f3fe9352ea81623d826,ac,138,47.04,26.25
f536c8bd94fdd9ce73262d2e842e4a41,86386f474e7ff81bec537b5f92c4bc98,ac,138,49.44,27.59
2a5db3d6ce6a75fb53c80498ad253377,80a86f20a8ae1c080b2d5ae20608af13,ac,138,88.78,49.54
23ca67cfd093157f2b1b68bafb1f0a3e,020995e82b0c56ec52f28dd7de3bb145,ac,230,92.59,46.18
c8167cf7f61157655b7248284b413b6f,85c19375f0c12c6793bf66b4e2666dc4,ac,138,30.91,17.25
1ad4dc0986f8e453fad705c87ed6dfda,5c651f725ebbdc7ade68e7a6a0482cad,ac,230,79.04,39.42
1cbaa4e5609fb6517f54f0ab0c205ada,45b02e9da70144e563ddb3407d8718ae,ac,138,34.57,19.29
8381872fa17f9dcb5fdb58802461c46e,1cea227cb2ca29383f916aef863a2dd8,ac,138,37.97,21.19
0bec370d93e454d9a0cd7dee3e0ef456,f536c8bd94fdd9ce73262d2e842e4a41,ac,138,93.63,52.25
df0d340ef29911141baad7928c22fac0,b71ae9a72156d7961f68be39331f4f28,ac,138,51.54,28.76
4884a9a553568dcfc894cc2728b6b0dc,ff8d9fee05e6c18c987f61ccac7537f4,ac,138,46.05,25.7
