md5_from,md5_to,MW_forward,MW_reverse,source
c1399f2eb50e562b9e0f3778c16fd7a3,25d0a45ccd9e33b6b1ef8760801b6841,605.256,0.0,uprate
9d624e9fd3bd011eb7a8f1d40f457d93,19aa6c6fb4ba9fcf39e893ff1fd5b5bd,0.0,908.81,uprate
9d624e9fd3bd011eb7a8f1d40f457d93,42a1aa5d08ca708ab153b9bd5429a670,2637.392,0.0,uprate
9d624e9fd3bd011eb7a8f1d40f457d93,84c230a5b1bc3495046ef916957c7238,0.0,1965.001,uprate
5fc31084408a07f4170a4109991b558b,0c95e4a579307c6cf93f139e12d62022,0.0,44.781,uprate
5fc31084408a07f4170a4109991b558b,fd1095d744e5a2ba86ca7a9870aa6730,0.0,671.554,uprate
4ac5aa745798f8e399a28bd6ee7d379c,8b8f66308ee7c3ad5d1031a5721f0753,279.324,0.0,uprate
ae385516bf05975c06778418ba30dc0a,aa1f5f73327ba40d47ebce155e785aaf,1232.244,0.0,uprate
ae385516bf05975c06778418ba30dc0a,e99298b28ed320343949b7631bebe7e5,0.0,2166.659,uprate
ae385516bf05975c06778418ba30dc0a,46f6341ce05f71416cddc3e42a76102c,614.351,0.0,uprate
0c95e4a579307c6cf93f139e12d62022,c333bad2a8b45d3c30902945bd98f699,299.93,0.0,uprate
e6d71413617dfba7a5ff5b9a7180c007,7495bfe3bcb0defae0b795cb11c19e13,1095.617,0.0,uprate
e6d71413617dfba7a5ff5b9a7180c007,0acf03f408f90ea0dcba786d300620db,0.0,1169.264,uprate
1f539471127c904e22309f6fa599e98f,75e0d8c653ea7377eb3a4c55234c6a43,0.0,1929.968,uprate
2f4059dbdef515f7ddf25d1888ec1704,c35a4c435947597d8ba9718c4d7d6643,0.0,23.992,uprate
00b682284a10bdccd33c429ec31f4bec,f4fce05b7e6af04c39a65a97418bb529,12.018,0.0,uprate
00b682284a10bdccd33c429ec31f4bec,c35a4c435947597d8ba9718c4d7d6643,46.244,0.0,uprate
aa1f5f73327ba40d47ebce155e785aaf,7495bfe3bcb0defae0b795cb11c19e13,1444.706,0.0,uprate
422f010441436ae9511d3e04a6d0d186,50e1781e60d725365a74d585a2734062,0.0,39.739,uprate
e99298b28ed320343949b7631bebe7e5,037ca1e2c1f5248ac197f1086bedfa68,0.0,2058.798,uprate
50e1781e60d725365a74d585a2734062,c333bad2a8b45d3c30902945bd98f699,268.913,0.0,uprate
50e1781e60d725365a74d585a2734062,84c230a5b1bc3495046ef916957c7238,22.114,0.0,uprate
a1d4643376bf11b37c51f5c76fcaff79,f4fce05b7e6af04c39a65a97418bb529,0.0,612.446,uprate
a1d4643376bf11b37c51f5c76fcaff79,0acf03f408f90ea0dcba786d300620db,620.19,0.0,uprate
366c97caa1e66d39a0c21edb8fdc9caf,de872154ffbf91a5dcc0e539dd2d5106,0.0,20.897,uprate
f4fce05b7e6af04c39a65a97418bb529,25e1cacca4ed260e758af5d015088139,0.0,570.17,uprate
62752c5f9ee3bf051713cd8db0961616,de872154ffbf91a5dcc0e539dd2d5106,82.207,0.0,uprate
7cecfe41e1394109d7b8620ca3926166,1764183ef03fc7324eb58c3842bd9a57,162.849,0.0,uprate
75e0d8c653ea7377eb3a4c55234c6a43,37a56d458b5e856d05bcfb3322db5f8a,0.0,2170.564,uprate
de872154ffbf91a5dcc0e539dd2d5106,d5346723901d967ccc167929e2ee94ad,0.0,23.363,uprate
c0eab2dce3fc614a18251fb483e71dee,b0f7ec2784174fdce2f2de20d3941d96,799.384,0.0,uprate
7881f1e0495cfb89d108dae7db90f763,30cd1e36baf6f9f1cc50d66e55e09984,0.0,17.072,uprate
c077c0cd415753c0f5f3aa9397d739e3,27e5b67fd10a082a605ee7d995f69eca,0.0,3.134,uprate
3da508de45fcad17289fd382a1b95376,c8713899f5d7bf79084d5550b0461b65,10.755,0.0,uprate
a2b834e585967887c4522fa09f0b6395,9380e398ee9bea45b992a3daaa6b7c4d,0.0,4.38,uprate
58426cf937eb05143f82b6d41e8968bd,ded6533f55f0bc8f8d6110aeba1b878c,0.0,30.35,uprate
9953a9514b2a810825f17416e1e32f7d,d5346723901d967ccc167929e2ee94ad,246.894,0.0,uprate
76c7c563b32ad9d8d09c72a2d17c90e1,646680a2406b2430bde8761a48e4a2ed,0.0,220.602,uprate
76c7c563b32ad9d8d09c72a2d17c90e1,db59260cce0b871c7b2bb780eee305db,67.399,0.0,uprate
9e1a4ad1551fcb87bfeb7061da4e11a2,afeae7504d214a43ca689bc1d0999930,14.98,0.0,uprate
1c39c39d1a341ba03ae48a942c6a43ef,1a8207690ac54d845f7a57dd468970fa,0.0,37.62,uprate
37a56d458b5e856d05bcfb3322db5f8a,22781293bd688d958f3be27e4c26d2c3,0.0,2266.539,uprate
e2fcc738438c4e7ca4b605ef8764db73,4d85374a75c3ff7c040df577395ff7f9,19.644,0.0,uprate
81bd84c896e453d8b6292072257c75c1,1026d8c97a822ee171c6cbf939fe4aca,0.0,28.463,uprate
8f48ba716a4af57ae9b2e0308c871c00,a370afda41a7ae62dcb8d1b721b92bed,353.01,0.0,uprate
fed02ce0e96f989ec31e4eb6596bb06e,037ca1e2c1f5248ac197f1086bedfa68,98.819,0.0,uprate
fed02ce0e96f989ec31e4eb6596bb06e,1026d8c97a822ee171c6cbf939fe4aca,0.0,65.311,uprate
30cd1e36baf6f9f1cc50d66e55e09984,1df146af0948a68b1342ce39907668fe,0.0,113.047,uprate
9380e398ee9bea45b992a3daaa6b7c4d,d5346723901d967ccc167929e2ee94ad,1658.628,0.0,uprate
9380e398ee9bea45b992a3daaa6b7c4d,1dbb1c25df6942683e7b1317f0e13db6,0.0,1740.296,uprate
698ec16e76917ade649bd5c968cfc2b8,c3b7cab19af6d5c3b00428af950eef80,73.741,0.0,uprate
037ca1e2c1f5248ac197f1086bedfa68,d5346723901d967ccc167929e2ee94ad,0.0,1972.971,uprate
2c3587935e1f0e6c91c964d95d746a16,1c24cb0f12a000555fe8ad5a7b3c4296,0.0,46.638,uprate
c0e2bf725db7e7a854b8c181154d8059,c999d5b6b8bab8662faae7fafe463f04,40.461,0.0,uprate
e6c4449bcfd592112d927f85d4d44e60,395db788289ee286662bbcabe78d99da,0.0,16.116,uprate
e6c4449bcfd592112d927f85d4d44e60,f2843fe2048acb2e687eeebe826db352,36.041,0.0,uprate
22781293bd688d958f3be27e4c26d2c3,b0f7ec2784174fdce2f2de20d3941d96,0.0,748.139,uprate
9ef2480a65cde87091d69a3b8a7fec3a,f23077b60542b92033df4d2e208706de,0.0,470.297,uprate
afd208b1d98bc70e0aedc93bb4371c14,1dbb1c25df6942683e7b1317f0e13db6,0.0,50.819,uprate
d18b09180684862f5665e1932fdb54fb,645f86b5cec4da0a56ffea7a891720c9,5.567,0.0,uprate
a188af0bc920853d3673ab71c5f2a440,4049f46696d549c65f5832e15664afdd,0.0,24.684,uprate
26a95b3bf6c0fa4ba909250facfb5ae9,45b02e9da70144e563ddb3407d8718ae,0.562,0.0,uprate
ea2d131c2a2c1b6b2956919af13a76c5,c999d5b6b8bab8662faae7fafe463f04,22.688,0.0,uprate
4049f46696d549c65f5832e15664afdd,2808e33b0ef26bac248b17936f0f1938,0.0,64.743,uprate
6dc375089b790ef9139838cfe94fe603,76a70544c7953a163167e2fce5c48770,13.03,0.0,newlink
6dc375089b790ef9139838cfe94fe603,009d69d2d1b986815e7b825382d73af5,0.0,237.874,uprate
6dc375089b790ef9139838cfe94fe603,30580a4caf21ef930b7774a2eff4aa26,0.0,1194.483,uprate
5ecc4617cc84104f472db907a80372a0,8336419bf14c0d8b02748bb61f3a1dc5,0.0,42.388,uprate
a8e0614f304631badb289376e7354d33,1671f1468c94ff1c45e249f5fd322ed5,0.0,4.985,uprate
f58edd3a416399ee20c1346b8f2c7f59,1671f1468c94ff1c45e249f5fd322ed5,0.0,107.079,uprate
7842858ddde53cb0a24dc8c9fea4f92b,bbeca2458adc54f3a17a309729c167fa,164.726,0.0,uprate
d346c2bc24a74cc35bc7c84444da4925,85984b9d2eb57c8dcf9cddb02def51b8,117.535,0.0,uprate
d346c2bc24a74cc35bc7c84444da4925,6aeb3208dc5a2684a711578fbfdc3121,10.427,0.0,uprate
d346c2bc24a74cc35bc7c84444da4925,d61efad0e6a1f6ed7064890ae48f26d1,0.0,436.041,uprate
589614f4059c694cd0fd49e71249d610,30580a4caf21ef930b7774a2eff4aa26,0.0,680.854,uprate
1671f1468c94ff1c45e249f5fd322ed5,d61efad0e6a1f6ed7064890ae48f26d1,0.0,450.058,uprate
611f6a32dae4fdfd16a9bf955536b34f,182f8293cae1335760d41293823dfe4f,0.0,281.466,uprate
fe434d59c38fffae98f97529fe6f07c6,7f1da4ed0fa4babef8034f5e95cd8db2,0.0,32.468,uprate
3e49d4ec10aad7c623659c37e011665a,2826a001bddefaad0896bd7a85941b2f,71.334,0.0,uprate
98c1991adee78a8f7fd9b0cd2e7b3416,6aeb3208dc5a2684a711578fbfdc3121,0.0,5.194,uprate
09504c80bbd8bb4b75f97df27a9feaa3,bbeca2458adc54f3a17a309729c167fa,0.0,145.66,uprate
870271b323edc885b0478b67113fdbb1,54cbacbc5d8130ebcec9891bf80027d8,0.0,143.485,uprate
400362daca8ad3cbfaf07300bc4bd898,182f8293cae1335760d41293823dfe4f,0.0,24.568,uprate
30580a4caf21ef930b7774a2eff4aa26,360136214356045a328d50619083ac42,0.0,1089.248,uprate
726bd18c52afc248015dcdbc463c6f85,39ba1389e2930ff24e3101741c9009ea,213.581,0.0,uprate
